establishment_status,inspection_date,severity,inspection_year
Pass,2023-05-08,S - Significant,2023
Pass,2023-10-25,,2023
Pass,2024-01-02,,2024
Pass,2022-05-13,,2022
Pass,2023-01-16,,2023
Pass,2023-08-25,,2023
Pass,2022-05-16,M - Minor,2022
Pass,2022-05-16,M - Minor,2022
Pass,2023-03-02,,2023
Pass,2023-07-27,,2023
Pass,2022-09-23,,2022
Pass,2023-04-05,M - Minor,2023
Pass,2023-12-04,,2023
Pass,2022-03-15,,2022
Pass,2023-01-10,,2023
Pass,2023-07-31,,2023
Pass,2024-01-02,,2024
Pass,2022-06-09,M - Minor,2022
Pass,2023-02-28,M - Minor,2023
Pass,2023-02-28,M - Minor,2023
Pass,2023-07-20,,2023
Pass,2023-12-13,,2023
Pass,2022-05-18,M - Minor,2022
Pass,2023-03-21,M - Minor,2023
Pass,2022-06-16,,2022
Pass,2022-09-20,M - Minor,2022
Pass,2022-09-20,M - Minor,2022
Pass,2023-05-17,,2023
Pass,2022-06-16,,2022
Pass,2022-11-08,M - Minor,2022
Pass,2023-04-27,,2023
Pass,2023-09-28,,2023
Pass,2022-06-07,,2022
Pass,2023-03-28,,2023
Pass,2023-07-18,,2023
Pass,2022-03-02,,2022
Pass,2023-02-08,,2023
Pass,2023-07-12,,2023
Pass,2022-07-12,,2022
Pass,2023-04-24,,2023
Pass,2023-11-17,,2023
Pass,2022-04-27,,2022
Pass,2023-02-23,,2023
Pass,2023-07-06,M - Minor,2023
Pass,2022-12-21,M - Minor,2022
Pass,2023-03-17,,2023
Pass,2023-07-10,,2023
Pass,2022-04-07,,2022
Pass,2023-03-15,M - Minor,2023
Pass,2023-03-15,S - Significant,2023
Pass,2023-08-28,,2023
Pass,2022-07-08,M - Minor,2022
Pass,2023-02-08,,2023
Pass,2023-08-29,M - Minor,2023
Pass,2023-08-29,S - Significant,2023
Pass,2024-01-09,,2024
Pass,2022-12-08,,2022
Pass,2023-05-03,,2023
Pass,2023-10-05,,2023
Pass,2024-01-23,,2024
Pass,2022-09-23,,2022
Pass,2023-02-23,,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,S - Significant,2023
Pass,2022-11-03,,2022
Pass,2022-12-02,M - Minor,2022
Pass,2022-12-02,M - Minor,2022
Pass,2023-12-11,M - Minor,2023
Pass,2023-12-11,M - Minor,2023
Pass,2023-12-11,M - Minor,2023
Pass,2022-11-22,,2022
Pass,2023-06-13,,2023
Pass,2022-06-13,,2022
Pass,2023-02-06,,2023
Pass,2023-07-20,M - Minor,2023
Pass,2023-04-20,S - Significant,2023
Pass,2023-04-20,M - Minor,2023
Pass,2023-08-31,S - Significant,2023
Pass,2023-08-31,M - Minor,2023
Pass,2023-12-08,M - Minor,2023
Pass,2022-08-22,,2022
Pass,2023-03-28,,2023
Pass,2023-09-13,,2023
Pass,2022-05-09,,2022
Pass,2023-04-17,,2023
Pass,2023-08-17,,2023
Pass,2022-03-23,M - Minor,2022
Pass,2023-05-16,M - Minor,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,M - Minor,2023
Pass,2023-08-30,M - Minor,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-09-05,,2023
Pass,2022-09-02,,2022
Pass,2023-04-27,,2023
Pass,2023-11-22,,2023
Pass,2022-02-25,M - Minor,2022
Pass,2022-02-25,S - Significant,2022
Pass,2022-02-25,M - Minor,2022
Pass,2022-02-25,S - Significant,2022
Pass,2022-03-07,,2022
Pass,2023-05-11,,2023
