establishment_status,inspection_date,severity
Pass,2023-03-10,
Pass,2023-08-03,M - Minor
Pass,2022-06-11,M - Minor
Pass,2023-02-26,
Pass,2023-09-23,
Pass,2022-09-21,
Pass,2022-09-20,
Pass,2022-06-15,M - Minor
Pass,2022-06-15,S - Significant
Pass,2022-06-15,S - Significant
Pass,2022-06-15,M - Minor
Pass,2022-12-21,
Pass,2023-04-11,
Pass,2023-10-30,M - Minor
Pass,2023-10-30,M - Minor
Pass,2022-09-20,
Pass,2022-12-06,M - Minor
Pass,2023-03-27,
Pass,2023-08-24,M - Minor
Pass,2023-08-24,M - Minor
Pass,2022-04-19,
Pass,2022-06-07,
Pass,2023-02-23,
Pass,2023-05-31,
Pass,2023-08-17,
Pass,2022-05-03,
Pass,2022-09-27,M - Minor
Pass,2023-04-05,M - Minor
Pass,2023-04-05,M - Minor
Pass,2023-04-05,M - Minor
Pass,2022-08-30,NA - Not Applicable
Pass,2023-04-06,M - Minor
Pass,2023-12-29,M - Minor
Pass,2022-11-18,M - Minor
Pass,2022-11-18,M - Minor
Pass,2022-11-18,S - Significant
Pass,2022-11-18,M - Minor
Pass,2023-05-15,
Pass,2023-08-17,
Pass,2023-03-17,M - Minor
Pass,2023-09-13,
Pass,2022-04-20,
Pass,2022-10-03,
Pass,2023-01-20,
Pass,2023-11-20,
Pass,2022-06-16,
Pass,2022-09-23,
Pass,2023-01-19,M - Minor
Pass,2023-07-25,M - Minor
Pass,2022-04-06,
Pass,2022-12-14,NA - Not Applicable
Pass,2023-05-31,
Pass,2023-10-17,S - Significant
Pass,2023-10-17,S - Significant
Pass,2024-01-04,M - Minor
Pass,2024-01-04,M - Minor
Pass,2024-01-04,S - Significant
Pass,2022-05-12,
Pass,2023-02-06,
Pass,2023-11-09,
Pass,2022-05-12,
Pass,2023-02-13,M - Minor
Pass,2023-09-21,
Pass,2022-06-14,M - Minor
Pass,2022-12-07,
Pass,2023-04-21,
Pass,2023-10-12,
Pass,2022-05-04,
Pass,2022-12-21,
Pass,2023-05-04,
Pass,2023-10-04,
Pass,2022-05-13,S - Significant
Pass,2022-05-13,M - Minor
Pass,2023-06-26,M - Minor
Pass,2023-06-26,M - Minor
Pass,2023-11-17,M - Minor
Pass,2022-04-13,
Pass,2022-08-29,
Pass,2022-10-24,
Pass,2023-02-10,
Pass,2023-05-23,
Pass,2023-07-18,
Pass,2022-02-03,
Pass,2022-05-03,
Pass,2023-04-05,
Pass,2023-09-01,
Pass,2022-06-14,S - Significant
Pass,2023-01-03,
Pass,2023-04-05,
Pass,2023-09-12,
Pass,2022-07-19,
Pass,2022-11-25,
Pass,2023-03-30,
Pass,2023-08-28,M - Minor
Pass,2022-03-29,
Pass,2022-08-26,M - Minor
Pass,2023-03-01,
Pass,2023-08-15,
Pass,2022-08-22,
Pass,2022-12-14,M - Minor
Pass,2023-03-02,
Pass,2023-07-17,
Pass,2024-01-16,
Pass,2022-04-05,
Pass,2023-01-20,M - Minor
Pass,2023-08-16,
Pass,2022-04-22,
Pass,2022-08-16,
Pass,2023-04-12,
Pass,2023-10-05,
Pass,2022-02-07,
Pass,2023-01-06,
Pass,2023-10-10,S - Significant
Pass,2023-10-10,M - Minor
Pass,2022-05-09,S - Significant
Pass,2023-02-24,
Pass,2023-07-14,
Pass,2024-01-04,
Pass,2022-03-11,
Pass,2022-06-27,
Pass,2022-12-09,
Pass,2023-02-07,
Pass,2023-07-07,M - Minor
Pass,2023-07-07,M - Minor
Pass,2022-05-05,
Pass,2022-06-22,
Pass,2023-01-05,
Pass,2023-11-06,M - Minor
Pass,2024-01-22,M - Minor
Pass,2022-04-06,
Pass,2022-08-12,M - Minor
Pass,2023-02-01,M - Minor
Pass,2023-10-16,
Pass,2022-08-29,M - Minor
Pass,2022-08-29,M - Minor
Pass,2023-04-21,
Pass,2022-06-14,
Pass,2022-08-31,
Pass,2022-11-21,M - Minor
Pass,2022-11-21,M - Minor
Pass,2023-06-13,S - Significant
Pass,2023-11-09,M - Minor
